Unnamed: 0,id,data,ad_page,ad_order,Title,Price,Date,Time,phone,room,loc,message,url,Шал:,Тагт:,Ашиглалтанд орсон он:,Гараж:,Цонх:,Барилгын давхар:,Хаалга:,Талбай:,Хэдэн давхарт:,Лизингээр авах боломж:,Цонхны тоо:,Барилгын явц:
0,5979442,"3 сая ₮ 3.4 сая ₮
Хан вилла 2 өрөө байр 52,85м2
6 өдрийн өмнө
УБ — Хан-Уул, Яармаг",73.0,1.0,,,,,,,,,,,,,,,,,,,,,
34,6003523,"569.43 сая ₮
Солонгос элчин сайдын яамны хойно, жаргалан хотхонд 6 өрөө байр
2 долоо хоногийн өмнө
УБ — Хан-Уул, Нархан хотхон",120.0,35.0,,,,,,,,,,,,,,,,,,,,,
0,6005669,"485.5 сая ₮
Мишээл экспо-н баруун талд, мишээл сити хотхонд 3 өрөө байр 107.9м2
2 долоо хоногийн өмнө
УБ — Хан-Уул, Мишээл",120.0,1.0,,,,,,,,,,,,,,,,,,,,,
1,6005696,"200 сая ₮
Москва хороололд 3 өрөө байр 89.33m2
2 долоо хоногийн өмнө
УБ — Сонгинохайрхан, Москва хороолол",120.0,2.0,,,,,,,,,,,,,,,,,,,,,
53,6018704,"75 сая ₮
16-р хороолол, саруул тэнгэр 2 хотхонд 1 өрөө байр 25.84м2
2 долоо хоногийн өмнө
УБ — Баянзүрх, 16-р хороолол",129.0,54.0,,,,,,,,,,,,,,,,,,,,,
49,6022345,"249.6 сая ₮
Арцат -2 хотхонд 3 өрөө байр
2 долоо хоногийн өмнө
УБ — Хан-Уул, Яармаг",120.0,50.0,,,,,,,,,,,,,,,,,,,,,
48,6022351,"850 сая ₮
Уб сувилалын зүүн урд, 115-р сургуулийн хойд талд 7 өрөө дуплекс
2 долоо хоногийн өмнө
УБ — Хан-Уул, Цэлмэг хотхон",120.0,49.0,,,,,,,,,,,,,,,,,,,,,
47,6022359,"435 сая ₮
Энхтайваны гүүрний зүүн урд, кн апартмент 3 өрөө байр
2 долоо хоногийн өмнө
УБ — Хан-Уул, Хурд",120.0,48.0,,,,,,,,,,,,,,,,,,,,,
46,6022642,"569.43 сая ₮
Жаргалан хотхонд 6 өрөө дуплекс
2 долоо хоногийн өмнө
УБ — Хан-Уул, Нархан хотхон",120.0,47.0,,,,,,,,,,,,,,,,,,,,,
45,6022659,"200 сая ₮ 277.2 сая ₮
Москва хороололд 3 өрөө байр
2 долоо хоногийн өмнө
УБ — Сонгинохайрхан, Москва хороолол",120.0,46.0,,,,,,,,,,,,,,,,,,,,,
58,6074084,"171.94 сая ₮
Хангай хотхоны хойно арга билиг хотхонд 2 өрөө байр
2 долоо хоногийн өмнө
УБ — Сүхбаатар, Сүхбаатар, Хороо 11",129.0,59.0,,,,,,,,,,,,,,,,,,,,,
59,6077836,"249.6 сая ₮
Арцат 2 хотхонд 3 өрөө байр
2 долоо хоногийн өмнө
УБ — Хан-Уул, Яармаг",129.0,60.0,,,,,,,,,,,,,,,,,,,,,
0,6077881,"75 сая ₮
16-р хороолол, саруул тэнгэр 2 хотхонд 1 өрөө байр
2 долоо хоногийн өмнө
УБ — Баянзүрх, 16-р хороолол",130.0,1.0,,,,,,,,,,,,,,,,,,,,,
27,6082048,"1.2 Тэрбум ₮
Зайсанд chariot residence хотхонд 205мкв 4 өрөө
2 өдрийн өмнө
УБ — Хан-Уул, Зайсан",36.0,28.0,,,,,,,,,,,,,,,,,,,,,
0,6104016,"201.63 сая ₮
Худ 15 хороо дөл хотхонд 57.61м2 2 өрөө байр
1 долоо хоногийн өмнө
УБ — Хан-Уул, 19-р хороолол",87.0,1.0,,,,,,,,,,,,,,,,,,,,,
12,6118628,"2.7 сая ₮
Гарден вилла 4 өрөө 74.34м2
1 долоо хоногийн өмнө
УБ — Хан-Уул, Яармаг",109.0,13.0,,,,,,,,,,,,,,,,,,,,,
51,6122565,"171.94 сая ₮ 232.5 сая ₮
арга билиг хотхонд 2 өрөө байр 53.73м2
2 долоо хоногийн өмнө
УБ — Сүхбаатар, Сүхбаатар, Хороо 11",120.0,52.0,,,,,,,,,,,,,,,,,,,,,
25,6153583,"260 сая ₮
Олимп хотхонд 3 өрөө байр 64.3m2
2 долоо хоногийн өмнө
УБ — Баянзүрх, Олимп хотхон",119.0,26.0,,,,,,,,,,,,,,,,,,,,,
8,6156215,"3.6 сая ₮
Худ мишээлд 2 өрөө байр
1 долоо хоногийн өмнө
УБ — Хан-Уул, Мишээл",88.0,9.0,,,,,,,,,,,,,,,,,,,,,
49,6156318,"720 сая ₮
Ncd vega city 3 uruu 104 m2
2 өдрийн өмнө
УБ — Хан-Уул, Japan town",43.0,50.0,,,,,,,,,,,,,,,,,,,,,
4,6171892,"2.9 сая ₮
Худ 6 өрөө дуплекс байр 210м2
2 долоо хоногийн өмнө
УБ — Хан-Уул, Оддын хороолол",122.0,5.0,,,,,,,,,,,,,,,,,,,,,
32,6189441,"350 сая ₮
Hunnu tower-д 3 өрөө байр
3 өдрийн өмнө
УБ — Хан-Уул, Яармаг",49.0,33.0,,,,,,,,,,,,,,,,,,,,,
46,6202650,"178.8 сая ₮
Худ 11 хороо зайсан толгойн зүүн талд 54.2м2 2өрөө
3 өдрийн өмнө
УБ — Хан-Уул, Зайсан",47.0,47.0,,,,,,,,,,,,,,,,,,,,,
37,6240959,"71.3 сая ₮
Цайз захын баруун талд 2 өрөө
1 долоо хоногийн өмнө
УБ — Баянзүрх, Баянзүрх, Хороо 15",115.0,38.0,,,,,,,,,,,,,,,,,,,,,
